DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EX_DIVIDEND,SPLIT_RATIO,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME
2018-04-05,,84.9,82.6,83.31,461797.0,0.0,1.0,,84.9,82.6,83.31,461797.0
2018-04-04,,84.0,81.3,83.41,257644.0,0.0,1.0,,84.0,81.3,83.41,257644.0
2018-04-03,,81.9,79.9,81.32,432359.0,0.0,1.0,,81.9,79.9,81.32,432359.0
2018-04-02,,81.6,80.7,80.99,261293.0,0.0,1.0,,81.6,80.7,80.99,261293.0
2018-04-01,,82.8,81.7,81.95,312459.0,0.0,1.0,,82.8,81.7,81.95,312459.0
2018-03-29,,83.7,82.5,82.86,338171.0,0.0,1.0,,83.7,82.5,82.86,338171.0
2018-03-28,,84.9,82.5,83.04,683376.0,0.0,1.0,,84.9,82.5,83.04,683376.0
2018-03-27,,85.0,84.2,84.94,370295.0,0.0,1.0,,85.0,84.2,84.94,370295.0
2018-03-26,,85.0,83.4,84.88,424810.0,0.0,1.0,,85.0,83.4,84.88,424810.0
2018-03-25,,83.9,80.9,83.69,599517.0,0.0,1.0,,83.9,80.9,83.69,599517.0
2018-03-22,,82.9,79.1,81.81,724186.0,0.0,1.0,,82.9,79.1,81.81,724186.0
2018-03-21,,79.3,78.0,78.66,497315.0,0.0,1.0,,79.3,78.0,78.66,497315.0
2018-03-20,,80.4,78.2,78.46,608513.0,0.0,1.0,,80.4,78.2,78.46,608513.0
2018-03-19,,82.2,79.5,80.16,436164.0,0.0,1.0,,82.2,79.5,80.16,436164.0
2018-03-18,,83.0,82.0,82.27,233047.0,0.0,1.0,,83.0,82.0,82.27,233047.0
2018-03-15,83.0,83.8,82.3,83.18,468649.0,0.0,1.0,83.0,83.8,82.3,83.18,468649.0
2018-03-14,,83.1,82.5,82.98,129466.0,0.0,1.0,,83.1,82.5,82.98,129466.0
2018-03-13,,83.4,82.7,82.92,249652.0,0.0,1.0,,83.4,82.7,82.92,249652.0
2018-03-12,,83.8,82.0,82.38,663848.0,0.0,1.0,,83.8,82.0,82.38,663848.0
2018-03-11,,84.0,79.3,82.92,899808.0,0.0,1.0,,84.0,79.3,82.92,899808.0
2018-03-08,,79.5,77.4,79.32,234437.0,0.0,1.0,,79.5,77.4,79.32,234437.0
2018-03-07,,78.3,76.9,78.01,311791.0,0.0,1.0,,78.3,76.9,78.01,311791.0
2018-03-06,,77.4,76.3,77.22,245882.0,0.0,1.0,,77.4,76.3,77.22,245882.0
2018-03-05,,77.3,75.9,76.18,388283.0,0.0,1.0,,77.3,75.9,76.18,388283.0
2018-03-04,,77.7,75.8,77.43,499175.0,0.0,1.0,,77.7,75.8,77.43,499175.0
2018-03-01,,76.1,75.5,75.95,120196.0,0.0,1.0,,76.1,75.5,75.95,120196.0
2018-02-28,,76.2,75.6,75.92,284624.0,0.0,1.0,,76.2,75.6,75.92,284624.0
2018-02-27,,76.2,74.8,76.14,441670.0,0.0,1.0,,76.2,74.8,76.14,441670.0
2018-02-26,,76.1,75.4,75.66,222614.0,0.0,1.0,,76.1,75.4,75.66,222614.0
2018-02-25,,76.1,75.3,75.77,101596.0,0.0,1.0,,76.1,75.3,75.77,101596.0
2018-02-22,,76.0,74.0,75.83,355162.0,0.0,1.0,,76.0,74.0,75.83,355162.0
2018-02-21,,76.0,75.8,75.8,129696.0,0.0,1.0,,76.0,75.8,75.8,129696.0
2018-02-20,,76.4,75.7,76.3,386395.0,0.0,1.0,,76.4,75.7,76.3,386395.0
2018-02-19,,75.8,74.4,75.76,250305.0,0.0,1.0,,75.8,74.4,75.76,250305.0
2018-02-18,,76.0,74.3,75.94,654578.0,0.0,1.0,,76.0,74.3,75.94,654578.0
2018-02-15,,75.0,73.9,74.84,266094.0,0.0,1.0,,75.0,73.9,74.84,266094.0
2018-02-14,,73.8,72.9,73.78,183536.0,0.0,1.0,,73.8,72.9,73.78,183536.0
2018-02-13,,73.0,72.4,72.96,104055.0,0.0,1.0,,73.0,72.4,72.96,104055.0
2018-02-12,,73.6,72.9,72.95,316308.0,0.0,1.0,,73.6,72.9,72.95,316308.0
2018-02-11,,73.0,72.2,72.9,114228.0,0.0,1.0,,73.0,72.2,72.9,114228.0
2018-02-08,,73.4,72.6,72.75,84023.0,0.0,1.0,,73.4,72.6,72.75,84023.0
2018-02-07,,73.6,72.2,73.06,260416.0,0.0,1.0,,73.6,72.2,73.06,260416.0
2018-02-06,,73.5,72.5,72.62,470075.0,0.0,1.0,,73.5,72.5,72.62,470075.0
2018-02-05,,74.1,72.8,73.49,279304.0,0.0,1.0,,74.1,72.8,73.49,279304.0
2018-02-04,,74.1,73.1,73.61,280985.0,0.0,1.0,,74.1,73.1,73.61,280985.0
2018-02-01,,74.1,73.3,73.78,192216.0,0.0,1.0,,74.1,73.3,73.78,192216.0
2018-01-31,,73.8,72.7,73.49,515233.0,0.0,1.0,,73.8,72.7,73.49,515233.0
2018-01-30,,73.0,72.3,72.64,249534.0,0.0,1.0,,73.0,72.3,72.64,249534.0
2018-01-29,,73.1,72.6,72.65,217132.0,0.0,1.0,,73.1,72.6,72.65,217132.0
2018-01-28,72.0,73.5,72.0,73.01,1034427.0,0.0,1.0,72.0,73.5,72.0,73.01,1034427.0
2018-01-25,,71.7,70.7,71.62,255803.0,0.0,1.0,,71.7,70.7,71.62,255803.0
2018-01-24,,70.7,70.5,70.64,33296.0,0.0,1.0,,70.7,70.5,70.64,33296.0
2018-01-23,,70.7,70.3,70.65,120735.0,0.0,1.0,,70.7,70.3,70.65,120735.0
2018-01-22,,70.7,70.3,70.45,216924.0,0.0,1.0,,70.7,70.3,70.45,216924.0
2018-01-21,,70.7,70.4,70.69,77281.0,0.0,1.0,,70.7,70.4,70.69,77281.0
2018-01-18,,70.8,70.0,70.55,156544.0,0.0,1.0,,70.8,70.0,70.55,156544.0
2018-01-17,,70.8,69.8,70.05,223001.0,0.0,1.0,,70.8,69.8,70.05,223001.0
2018-01-16,,70.9,69.6,70.83,317651.0,0.0,1.0,,70.9,69.6,70.83,317651.0
2018-01-15,,69.8,69.2,69.55,147328.0,0.0,1.0,,69.8,69.2,69.55,147328.0
2018-01-14,,69.7,68.5,69.12,274687.0,0.0,1.0,,69.7,68.5,69.12,274687.0
2018-01-11,,68.3,67.5,68.21,106131.0,0.0,1.0,,68.3,67.5,68.21,106131.0
2018-01-10,67.8,67.8,67.4,67.58,76646.0,0.0,1.0,67.8,67.8,67.4,67.58,76646.0
2018-01-09,,68.3,67.8,67.99,67797.0,0.0,1.0,,68.3,67.8,67.99,67797.0
2018-01-08,,68.3,68.0,68.0,85015.0,0.0,1.0,,68.3,68.0,68.0,85015.0
2018-01-07,,68.4,67.0,68.01,128136.0,0.0,1.0,,68.4,67.0,68.01,128136.0
2018-01-04,,67.7,67.2,67.58,56534.0,0.0,1.0,,67.7,67.2,67.58,56534.0
2018-01-03,,67.5,66.9,67.46,164584.0,0.0,1.0,,67.5,66.9,67.46,164584.0
2018-01-02,,68.2,66.9,67.07,178184.0,0.0,1.0,,68.2,66.9,67.07,178184.0
2018-01-01,,68.5,68.1,68.17,208241.0,0.0,1.0,,68.5,68.1,68.17,208241.0
2017-12-31,,68.7,68.5,68.6,102838.0,0.0,1.0,,68.7,68.5,68.6,102838.0
2017-12-28,,68.7,68.4,68.64,222721.0,0.0,1.0,,68.7,68.4,68.64,222721.0
2017-12-27,,68.7,68.4,68.7,267065.0,0.0,1.0,,68.7,68.4,68.7,267065.0
2017-12-26,,69.0,68.5,68.6,321381.0,0.0,1.0,,69.0,68.5,68.6,321381.0
2017-12-25,,68.9,68.6,68.78,126905.0,0.0,1.0,,68.9,68.6,68.78,126905.0
2017-12-24,,69.1,68.6,68.7,102747.0,0.0,1.0,,69.1,68.6,68.7,102747.0
2017-12-21,,68.9,68.4,68.7,267711.0,0.0,1.0,,68.9,68.4,68.7,267711.0
2017-12-20,,68.9,68.4,68.68,195167.0,0.0,1.0,,68.9,68.4,68.68,195167.0
2017-12-19,,69.1,68.5,68.66,189063.0,0.0,1.0,,69.1,68.5,68.66,189063.0
2017-12-18,,69.0,68.1,68.87,227710.0,0.0,1.0,,69.0,68.1,68.87,227710.0
2017-12-17,,68.4,68.1,68.2,77398.0,0.0,1.0,,68.4,68.1,68.2,77398.0
2017-12-14,,68.7,68.0,68.05,146812.0,0.0,1.0,,68.7,68.0,68.05,146812.0
2017-12-13,,68.9,68.3,68.42,138114.0,0.0,1.0,,68.9,68.3,68.42,138114.0
2017-12-12,,69.1,68.5,68.72,254108.0,0.0,1.0,,69.1,68.5,68.72,254108.0
2017-12-11,,68.9,68.5,68.75,166434.0,0.0,1.0,,68.9,68.5,68.75,166434.0
2017-12-10,,69.6,68.6,68.89,304693.0,0.0,1.0,,69.6,68.6,68.89,304693.0
2017-12-07,,69.9,69.2,69.52,55108.0,0.0,1.0,,69.9,69.2,69.52,55108.0
2017-12-06,,69.9,69.5,69.58,88400.0,0.0,1.0,,69.9,69.5,69.58,88400.0
2017-12-05,,70.0,69.7,69.8,109176.0,0.0,1.0,,70.0,69.7,69.8,109176.0
2017-12-04,,70.3,69.8,70.13,244242.0,0.0,1.0,,70.3,69.8,70.13,244242.0
2017-12-03,,69.9,68.9,69.82,202274.0,0.0,1.0,,69.9,68.9,69.82,202274.0
2017-11-30,,69.0,68.7,68.8,69148.0,0.0,1.0,,69.0,68.7,68.8,69148.0
2017-11-29,,69.2,68.7,69.05,117219.0,0.0,1.0,,69.2,68.7,69.05,117219.0
2017-11-28,,69.0,68.5,68.9,83141.0,0.0,1.0,,69.0,68.5,68.9,83141.0
2017-11-27,,68.8,68.3,68.55,334371.0,0.0,1.0,,68.8,68.3,68.55,334371.0
2017-11-26,,68.8,68.4,68.6,231677.0,0.0,1.0,,68.8,68.4,68.6,231677.0
2017-11-23,,69.0,68.2,68.36,291825.0,0.0,1.0,,69.0,68.2,68.36,291825.0
2017-11-22,,69.4,68.6,68.81,478773.0,0.0,1.0,,69.4,68.6,68.81,478773.0
2017-11-21,,69.3,68.8,68.8,89280.0,0.0,1.0,,69.3,68.8,68.8,89280.0
2017-11-20,,69.5,69.2,69.46,90321.0,0.0,1.0,,69.5,69.2,69.46,90321.0
2017-11-19,,69.8,69.1,69.3,172055.0,0.0,1.0,,69.8,69.1,69.3,172055.0
2017-11-16,,69.8,68.8,69.53,407465.0,0.0,1.0,,69.8,68.8,69.53,407465.0
2017-11-15,,70.0,69.1,69.4,169056.0,0.0,1.0,,70.0,69.1,69.4,169056.0
2017-11-14,,70.1,69.5,69.76,310959.0,0.0,1.0,,70.1,69.5,69.76,310959.0
