DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EX_DIVIDEND,SPLIT_RATIO,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME
2018-04-05,,118.4,115.2,117.18,8277313.0,0.0,1.0,,118.4,115.2,117.18,8277313.0
2018-04-04,,115.6,114.6,114.77,5915941.0,0.0,1.0,,115.6,114.6,114.77,5915941.0
2018-04-03,,115.6,114.6,114.75,5485778.0,0.0,1.0,,115.6,114.6,114.75,5485778.0
2018-04-02,,116.4,115.0,115.27,8016446.0,0.0,1.0,,116.4,115.0,115.27,8016446.0
2018-04-01,,117.2,115.0,115.93,6293072.0,0.0,1.0,,117.2,115.0,115.93,6293072.0
2018-03-29,,120.0,115.4,116.41,8049101.0,0.0,1.0,,120.0,115.4,116.41,8049101.0
2018-03-28,,118.2,117.2,117.37,5321721.0,0.0,1.0,,118.2,117.2,117.37,5321721.0
2018-03-27,,117.6,115.0,117.32,3682335.0,0.0,1.0,,117.6,115.0,117.32,3682335.0
2018-03-26,,115.0,113.4,114.65,3629409.0,0.0,1.0,,115.0,113.4,114.65,3629409.0
2018-03-25,,115.4,112.6,114.57,3886073.0,0.0,1.0,,115.4,112.6,114.57,3886073.0
2018-03-22,,113.6,110.8,112.76,5780764.0,0.0,1.0,,113.6,110.8,112.76,5780764.0
2018-03-21,,110.6,109.6,110.24,4338435.0,0.0,1.0,,110.6,109.6,110.24,4338435.0
2018-03-20,,110.0,109.4,109.63,4074014.0,0.0,1.0,,110.0,109.4,109.63,4074014.0
2018-03-19,,110.2,109.6,109.69,3530018.0,0.0,1.0,,110.2,109.6,109.69,3530018.0
2018-03-18,,110.2,109.6,109.91,2832079.0,0.0,1.0,,110.2,109.6,109.91,2832079.0
2018-03-15,110.0,110.4,109.6,110.19,4574881.0,0.0,1.0,110.0,110.4,109.6,110.19,4574881.0
2018-03-14,,110.8,109.2,110.0,5399717.0,0.0,1.0,,110.8,109.2,110.0,5399717.0
2018-03-13,,111.4,110.0,110.84,6333581.0,0.0,1.0,,111.4,110.0,110.84,6333581.0
2018-03-12,,112.0,108.4,110.74,7358385.0,0.0,1.0,,112.0,108.4,110.74,7358385.0
2018-03-11,,109.2,107.8,108.28,5115447.0,0.0,1.0,,109.2,107.8,108.28,5115447.0
2018-03-08,,108.6,106.4,108.17,6625841.0,0.0,1.0,,108.6,106.4,108.17,6625841.0
2018-03-07,,106.8,106.2,106.34,5150710.0,0.0,1.0,,106.8,106.2,106.34,5150710.0
2018-03-06,,107.0,105.0,106.62,7303937.0,0.0,1.0,,107.0,105.0,106.62,7303937.0
2018-03-05,,105.4,104.2,105.02,5979973.0,0.0,1.0,,105.4,104.2,105.02,5979973.0
2018-03-04,,104.8,104.2,104.47,5476318.0,0.0,1.0,,104.8,104.2,104.47,5476318.0
2018-03-01,,105.0,104.2,104.67,8501219.0,0.0,1.0,,105.0,104.2,104.67,8501219.0
2018-02-28,,105.4,104.6,104.8,4801883.0,0.0,1.0,,105.4,104.6,104.8,4801883.0
2018-02-27,,105.6,105.0,105.17,2905031.0,0.0,1.0,,105.6,105.0,105.17,2905031.0
2018-02-26,,105.4,104.8,105.15,2362009.0,0.0,1.0,,105.4,104.8,105.15,2362009.0
2018-02-25,,105.8,104.8,105.18,2404330.0,0.0,1.0,,105.8,104.8,105.18,2404330.0
2018-02-22,,105.2,104.4,104.61,3002041.0,0.0,1.0,,105.2,104.4,104.61,3002041.0
2018-02-21,,105.4,104.8,104.86,2962784.0,0.0,1.0,,105.4,104.8,104.86,2962784.0
2018-02-20,,105.4,105.0,105.29,3018430.0,0.0,1.0,,105.4,105.0,105.29,3018430.0
2018-02-19,,105.4,105.0,105.07,3149214.0,0.0,1.0,,105.4,105.0,105.07,3149214.0
2018-02-18,,105.6,105.0,105.28,2999157.0,0.0,1.0,,105.6,105.0,105.28,2999157.0
2018-02-15,,105.6,105.0,105.29,4112389.0,0.0,1.0,,105.6,105.0,105.29,4112389.0
